,Place,State,City_Clean,Total Population,Native Born Population,Foreign-Born Population,Native Born Uninsured,Foreign-Born Uninsured,Health Clinic Count,Health Clinics per 1000 Uninsured Foreign-Born,Uninsured Foreign-Born per Health Clinic
470,San Juan Capistrano city, California,San Juan Capistrano,35856,28169,7687,956,1947,1,0.5136106831022085,1947.0
473,San Marcos city, California,San Marcos,94936,72102,22834,3044,4505,3,0.6659267480577137,1501.6666666666667
466,San Jacinto city, California,San Jacinto,47767,38349,9418,3125,1193,1,0.8382229673093042,1193.0
442,Riverside city, California,Riverside,323895,250320,73575,16025,10897,10,0.9176837661741764,1089.7
543,Vista city, California,Vista,98720,73512,25208,4737,4956,5,1.0088781275221954,991.2
154,Carlsbad city, California,Carlsbad,113484,97111,16373,4123,977,1,1.0235414534288638,977.0
279,Imperial Beach city, California,Imperial Beach,26346,20844,5502,1850,960,1,1.0416666666666667,960.0
405,Perris city, California,Perris,77134,53717,23417,4058,2790,3,1.075268817204301,930.0
348,Menifee city, California,Menifee,89826,76852,12974,3897,912,1,1.0964912280701755,912.0
165,Chula Vista city, California,Chula Vista,264327,181475,82852,10409,6877,8,1.1632979496873637,859.625
458,San Clemente city, California,San Clemente,64393,56632,7761,1638,835,1,1.1976047904191616,835.0
460,San Diego city, California,San Diego,1372837,1007615,365222,57511,39221,48,1.2238341704699014,817.1041666666666
221,Encinitas city, California,Encinitas,62274,54376,7898,2034,764,1,1.3089005235602094,764.0
301,Lake Elsinore city, California,Lake Elsinore,65596,51482,14114,2985,2034,3,1.4749262536873156,678.0
423,Poway city, California,Poway,49164,39281,9883,1172,620,1,1.6129032258064515,620.0
265,Hemet city, California,Hemet,83883,70249,13634,4933,1755,3,1.7094017094017093,585.0
521,Temecula city, California,Temecula,112301,94460,17841,5543,1145,2,1.7467248908296944,572.5
384,Oceanside city, California,Oceanside,172681,138269,34412,9027,5616,10,1.7806267806267806,561.6
201,Desert Hot Springs city, California,Desert Hot Springs,28585,21563,7022,2003,1457,3,2.059025394646534,485.6666666666667
281,Indio city, California,Indio,88853,68473,20380,3431,2770,6,2.1660649819494586,461.6666666666667
397,Palm Springs city, California,Palm Springs,47664,38160,9504,1754,1396,4,2.865329512893983,349.0
213,El Cajon city, California,El Cajon,101356,71648,29708,4160,2679,11,4.106009705113848,243.54545454545453
533,Twentynine Palms city, California,Twentynine Palms,19899,18420,1479,599,225,1,4.444444444444445,225.0
315,Lemon Grove city, California,Lemon Grove,26378,21037,5341,1542,589,4,6.791171477079796,147.25
305,La Mesa city, California,La Mesa,58193,49040,9153,2614,678,5,7.374631268436578,135.6
489,Santee city, California,Santee,55366,49567,5799,2219,167,2,11.976047904191617,83.5
